prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.19256329536437988,15.957704544067383,1746155905.331153,1746155921.481421
543,332,0.17430353164672852,19.5797758102417,1746155906.3317447,1746155926.0858243
550,286,0.17471528053283691,16.887437105178833,1746155907.3310032,1746155924.3931558
499,270,0.1815798282623291,16.079702138900757,1746155908.3318782,1746155924.5931604
1341,240,0.19785428047180176,14.31941556930542,1746155909.331306,1746155923.8485763
765,125,0.14661955833435059,7.355272054672241,1746155910.3309486,1746155917.8328416
981,181,0.19210147857666016,10.670173645019531,1746155911.3310876,1746155922.193363
968,244,0.27049994468688965,14.503396272659302,1746155912.331158,1746155927.1050546
673,51,0.25644564628601074,2.9433135986328125,1746155913.3316727,1746155916.5314348
311,475,0.16434431076049805,29.210891723632812,1746155914.3317158,1746155943.7069523
1209,77,0.22196674346923828,4.4986114501953125,1746155915.332003,1746155920.0525815
341,142,0.14205384254455566,8.49917721748352,1746155916.3314044,1746155924.9726357
517,250,0.17250537872314453,15.122297048568726,1746155917.3315947,1746155932.6263974
477,262,0.17718267440795898,15.772676944732666,1746155918.3316092,1746155934.281469
1056,162,0.28330445289611816,9.611327409744263,1746155919.331142,1746155929.2257743
222,310,0.12512755393981934,18.844622373580933,1746155920.3318453,1746155939.3015957
708,108,0.1505889892578125,6.436551332473755,1746155921.3318815,1746155927.9190223
763,137,0.16278457641601562,8.260311365127563,1746155922.3311403,1746155930.7542365
818,460,0.35219407081604004,29.289652109146118,1746155923.3309891,1746155952.9728355
875,247,0.20597338676452637,15.057599306106567,1746155924.331087,1746155939.5946603
348,42,0.15642356872558594,2.3228321075439453,1746155925.3314028,1746155927.810659
190,130,0.12064313888549805,7.77806544303894,1746155926.331399,1746155934.2301083
1071,297,0.15069866180419922,18.633084535598755,1746155927.331285,1746155946.1150687
1184,327,0.2972297668457031,20.771045207977295,1746155928.3311982,1746155949.3994734
377,30,0.19431400299072266,1.6605477333068848,1746155929.3323903,1746155931.1872523
924,222,0.20589995384216309,14.03026270866394,1746155930.3318033,1746155944.5679662
826,173,0.210845947265625,10.999675035476685,1746155931.3317006,1746155942.542222
696,158,0.2946608066558838,9.97532057762146,1746155932.3313212,1746155942.601303
717,276,0.19359278678894043,17.868258953094482,1746155933.33196,1746155951.393812
507,246,0.24756240844726562,16.097536325454712,1746155934.331385,1746155950.6764839
816,321,0.2924368381500244,21.516193628311157,1746155935.3312576,1746155957.1398885
351,134,0.19339489936828613,8.479280233383179,1746155936.332094,1746155945.0047696
340,84,0.2039504051208496,5.3952226638793945,1746155937.3319225,1746155942.9310958
593,231,0.25826239585876465,15.430417776107788,1746155938.3317943,1746155954.0204747
982,186,0.2082843780517578,12.322417259216309,1746155939.3314676,1746155951.8621695
1214,416,0.260822057723999,30.31325387954712,1746155940.331501,1746155970.9055772
899,434,0.3551149368286133,31.660390615463257,1746155941.3314974,1746155973.3470032
450,272,0.21432137489318848,18.801389932632446,1746155942.331117,1746155961.3468287
535,251,0.26238512992858887,17.469345331192017,1746155943.3311496,1746155961.0628805
898,250,0.1800069808959961,17.419952630996704,1746155944.331164,1746155961.931124
633,120,0.2870151996612549,8.238355875015259,1746155945.3323653,1746155953.8577366
686,101,0.32572340965270996,6.9764721393585205,1746155946.3326578,1746155953.6348536
1000,146,0.3860611915588379,10.237276554107666,1746155947.331532,1746155957.95487
487,9,0.2402205467224121,0.44201207160949707,1746155948.3312352,1746155949.0134685
782,253,0.34272146224975586,18.636548042297363,1746155949.331681,1746155968.310951
558,50,0.2902510166168213,3.344928741455078,1746155950.331924,1746155953.967104
488,133,0.25278258323669434,9.534444332122803,1746155951.3314757,1746155961.1187031
926,433,0.3648514747619629,34.53622913360596,1746155952.331415,1746155987.2324958
780,350,0.30470776557922363,27.51333475112915,1746155953.3312776,1746155981.1493204
920,298,0.4089012145996094,23.464394330978394,1746155954.3311865,1746155978.2044823
614,281,0.29674363136291504,22.3255717754364,1746155955.331228,1746155977.9535437
1204,112,0.47615504264831543,8.13869333267212,1746155956.3310885,1746155964.9459374
889,195,0.3446989059448242,15.166293144226074,1746155957.3319483,1746155972.8429406
578,272,0.29236841201782227,21.777332305908203,1746155958.3311555,1746155980.4008565
738,327,0.3367178440093994,26.65476369857788,1746155959.331636,1746155986.3231177
997,289,0.4002370834350586,23.642650604248047,1746155960.3315568,1746155984.374445
879,381,0.21124863624572754,31.304405212402344,1746155961.3313913,1746155992.8470457
844,326,0.40847063064575195,27.216409921646118,1746155962.3318017,1746155989.9566827
775,193,0.35312628746032715,16.28255295753479,1746155963.3312078,1746155979.9668872
1596,223,0.6134326457977295,18.38329005241394,1746155964.331723,1746155983.328446
895,261,0.3770880699157715,22.031173706054688,1746155965.3325448,1746155987.7408068
1172,302,0.4574735164642334,25.16590642929077,1746155966.331156,1746155991.9545364
1218,162,0.48844361305236816,13.266945838928223,1746155967.3318276,1746155981.0872176
739,386,0.3169593811035156,32.35746788978577,1746155968.3311434,1746156001.005571
810,318,0.2889091968536377,26.520404815673828,1746155969.331721,1746155996.1410353
1556,51,0.5719478130340576,4.152670621871948,1746155970.3317091,1746155975.0563278
602,150,0.3012981414794922,12.492268323898315,1746155971.3316934,1746155984.12526
778,301,0.32692813873291016,25.22382092475891,1746155972.331241,1746155997.8819902
742,254,0.3450343608856201,20.650439023971558,1746155973.3309333,1746155994.326407
1443,189,0.5351791381835938,15.45617413520813,1746155974.331234,1746155990.3225875
541,294,0.2646358013153076,24.536899089813232,1746155975.3319817,1746156000.1335168
857,131,0.3911919593811035,11.015158891677856,1746155976.3316302,1746155987.7379818
1024,175,0.4345850944519043,14.311163902282715,1746155977.331275,1746155992.0770242
1404,366,0.29984521865844727,30.674563884735107,1746155978.3313143,1746156009.3057237
1152,67,0.4427680969238281,5.355773687362671,1746155979.331283,1746155985.1298254
407,47,0.2572925090789795,3.984414577484131,1746155980.3318796,1746155984.5735872
327,10,0.20766425132751465,0.5579955577850342,1746155981.3343647,1746155982.100025
1402,177,0.5579230785369873,14.99227786064148,1746155982.3316731,1746155997.8818743
1624,266,0.6044981479644775,22.08990979194641,1746155983.3318515,1746156006.0262601
516,5,0.23965072631835938,0.25069427490234375,1746155984.3315597,1746155984.821905
1150,276,0.4379129409790039,23.16498851776123,1746155985.331542,1746156008.9344437
1016,246,0.405261754989624,20.27205538749695,1746155986.3316457,1746156007.008963
871,328,0.3459441661834717,28.20498776435852,1746155987.3309994,1746156015.8819318
1003,238,0.4268662929534912,20.05556559562683,1746155988.331184,1746156008.813616
760,206,0.3157379627227783,17.127860069274902,1746155989.3318818,1746156006.77548
1159,508,0.4385249614715576,46.30229711532593,1746155990.3312654,1746156037.072088
505,107,0.2525818347930908,9.117454767227173,1746155991.3313086,1746156000.7013454
440,185,0.20897650718688965,15.688662767410278,1746155992.3319943,1746156008.229634
835,271,0.385728120803833,24.249125003814697,1746155993.331817,1746156017.9666703
1182,284,0.4630928039550781,25.58137273788452,1746155994.3310137,1746156020.3754797
1641,305,0.6193034648895264,28.027803421020508,1746155995.3317716,1746156023.978879
1344,346,0.5267255306243896,31.950409173965454,1746155996.3315275,1746156028.808663
760,318,0.361614465713501,29.35379385948181,1746155997.3309097,1746156027.0463183
839,275,0.3585360050201416,25.288976907730103,1746155998.3314679,1746156023.978981
1152,232,0.43053174018859863,21.040408611297607,1746155999.3317492,1746156020.8026898
831,129,0.36748266220092773,11.136035919189453,1746156000.331874,1746156011.8353927
858,8,0.36510753631591797,0.43619799613952637,1746156001.331874,1746156002.13318
1158,266,0.4405813217163086,25.045350551605225,1746156002.3311589,1746156027.817091
505,115,0.2587289810180664,10.129830121994019,1746156003.3310213,1746156013.7195807
1120,51,0.45799851417541504,4.20773983001709,1746156004.3334842,1746156008.9992228
634,137,0.31824588775634766,12.440280437469482,1746156005.3318274,1746156018.090354
634,83,0.30037665367126465,7.455010652542114,1746156006.3349617,1746156014.0903492
1368,443,0.5236046314239502,43.21745944023132,1746156007.3312182,1746156051.0722828
1133,215,0.41729092597961426,20.623171091079712,1746156008.331367,1746156029.3718295
1222,319,0.44480109214782715,31.197943449020386,1746156009.331347,1746156040.9740918
1013,282,0.41402721405029297,27.32587957382202,1746156010.3311968,1746156038.0711038
1326,189,0.5034985542297363,18.513493061065674,1746156011.3312526,1746156030.3482444
1110,223,0.44475388526916504,22.151657104492188,1746156012.3315861,1746156034.9279976
864,293,0.3835327625274658,28.692065000534058,1746156013.33378,1746156042.409378
1086,248,0.45322465896606445,24.507705450057983,1746156014.3343675,1746156039.2952979
1298,307,0.5485808849334717,30.355682373046875,1746156015.3315358,1746156046.2357996
1267,417,0.4725363254547119,41.26635456085205,1746156016.331019,1746156058.0699105
1176,210,0.44697022438049316,20.422794580459595,1746156017.3315332,1746156038.2012982
974,193,0.4186887741088867,18.578900814056396,1746156018.331142,1746156037.328732
1822,344,0.6687028408050537,34.01667141914368,1746156019.331681,1746156054.0170555
1218,327,0.47151613235473633,32.2564423084259,1746156020.330975,1746156053.058934
1480,231,0.5392780303955078,22.456289291381836,1746156021.331115,1746156044.3266826
1427,84,0.5523643493652344,8.103668928146362,1746156022.331655,1746156030.9876888
1140,367,0.45345497131347656,35.998777866363525,1746156023.3309615,1746156059.7831945
1147,335,0.47796130180358887,32.56111264228821,1746156024.3313918,1746156057.3704662
1805,10,0.6711535453796387,0.7932651042938232,1746156025.3319259,1746156026.796345
763,173,0.33977842330932617,16.53947138786316,1746156026.331402,1746156043.210652
1094,205,0.4235208034515381,19.53005051612854,1746156027.3310227,1746156047.2845948
1005,229,0.40830039978027344,21.675063133239746,1746156028.3310525,1746156050.4144163
1733,174,0.6384854316711426,16.759159088134766,1746156029.3312023,1746156046.7288473
845,116,0.40392231941223145,11.173208713531494,1746156030.33098,1746156041.9081116
1013,137,0.38715505599975586,13.218809127807617,1746156031.3318496,1746156044.937814
1214,134,0.4987330436706543,13.157421827316284,1746156032.331254,1746156045.9874094
1779,79,0.6641256809234619,7.292269468307495,1746156033.331352,1746156041.2877476
1239,144,0.4663510322570801,13.224599123001099,1746156034.331676,1746156048.0226266
468,236,0.24161434173583984,23.16037917137146,1746156035.3311226,1746156058.7331166
350,133,0.22645974159240723,12.599578142166138,1746156036.331447,1746156049.157485
1659,260,0.6124122142791748,24.98784041404724,1746156037.3316364,1746156062.93189
1938,61,0.7050321102142334,5.835421800613403,1746156038.3319228,1746156044.8723772
759,9,0.30814552307128906,0.5034070014953613,1746156039.3314319,1746156040.1429849
1429,289,0.5712478160858154,28.08513832092285,1746156040.3337264,1746156068.990113
1281,132,0.5094201564788818,13.032314777374268,1746156041.3313217,1746156054.8730571
1211,263,0.49821996688842773,25.358883380889893,1746156042.331454,1746156068.1885579
1252,349,0.48968982696533203,35.06112241744995,1746156043.3351302,1746156078.885952
976,236,0.41298437118530273,22.582537412643433,1746156044.3312256,1746156067.3267477
1675,651,0.5881378650665283,68.79375720024109,1746156045.3315682,1746156114.7134635
651,127,0.27046775817871094,12.381284713745117,1746156046.331091,1746156058.9828436
651,352,0.3168294429779053,36.558398723602295,1746156047.33143,1746156084.2066584
1124,225,0.45420122146606445,22.430456399917603,1746156048.3312309,1746156071.215889
1484,554,0.5873544216156006,58.34268403053284,1746156049.330921,1746156108.2609596
1963,473,0.738023042678833,49.498053789138794,1746156050.3314037,1746156100.567481
