prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.04364657402038574,0.22753405570983887,1603,1,1746107261.7215722,1746107261.9927537
76.0,20.0,0.048501014709472656,0.22735190391540527,1604,1,1746107263.6396198,1746107263.915473
76.0,20.0,0.045258283615112305,0.22700285911560059,1605,1,1746107265.55631,1746107265.8285713
76.0,20.0,0.043723106384277344,0.2272195816040039,1606,1,1746107267.4705632,1746107267.741506
76.0,20.0,0.05130600929260254,0.22670531272888184,1607,1,1746107269.3860426,1746107269.6640542
76.0,20.0,0.03116321563720703,0.2292311191558838,1608,1,1746107271.2011714,1746107271.4615662
76.0,20.0,0.03651928901672363,0.2284228801727295,1609,1,1746107273.1194036,1746107273.384346
76.0,20.0,0.0349574089050293,0.2288217544555664,1610,1,1746107275.045434,1746107275.3092136
76.0,20.0,0.04147934913635254,0.22904753684997559,1611,1,1746107276.9630308,1746107277.2335582
76.0,20.0,0.037328243255615234,0.2272655963897705,1612,1,1746107278.8811984,1746107279.1457925
76.0,20.0,0.03612780570983887,0.22771215438842773,1613,1,1746107280.7000144,1746107280.9638548
76.0,20.0,0.03244972229003906,0.2275073528289795,1614,1,1746107282.6183076,1746107282.8782654
76.0,20.0,0.0380551815032959,0.22832894325256348,1615,1,1746107284.5374997,1746107284.8038845
76.0,20.0,0.04206585884094238,0.22779250144958496,1616,1,1746107286.4574664,1746107286.7273252
76.0,20.0,0.03411674499511719,0.22818827629089355,1617,1,1746107288.3751845,1746107288.6374903
76.0,20.0,0.0799093246459961,0.23732328414916992,1618,1,1746107290.5207946,1746107290.8380277
76.0,20.0,0.03169059753417969,0.226975679397583,1619,1,1746107260.11025,1746107260.368917
125.0,20.0,0.03327345848083496,0.23405218124389648,1619,2,1746107292.1360571,1746107292.4033833
76.0,20.0,0.034471750259399414,0.22668886184692383,1620,1,1746107262.029714,1746107262.2908754
125.0,20.0,0.032806396484375,0.2333087921142578,1620,2,1746107294.0540822,1746107294.3201978
76.0,20.0,0.03194379806518555,0.2273390293121338,1621,1,1746107263.9439473,1746107264.2032309
125.0,20.0,0.0420079231262207,0.23285579681396484,1621,2,1746107295.976609,1746107296.2514732
76.0,20.0,0.04009890556335449,0.22694849967956543,1622,1,1746107265.8608625,1746107266.1279106
125.0,20.0,0.041014671325683594,0.23372960090637207,1622,2,1746107297.8942165,1746107298.1689613
76.0,20.0,0.03705286979675293,0.22583746910095215,1623,1,1746107267.7758987,1746107268.03879
125.0,20.0,0.039902448654174805,0.23360991477966309,1623,2,1746107299.8116684,1746107300.0851812
76.0,20.0,0.03327178955078125,0.22642183303833008,1624,1,1746107269.6908782,1746107269.9505723
125.0,20.0,0.03831768035888672,0.22953462600708008,1624,2,1746107301.7306502,1746107301.9985054
76.0,20.0,0.03957939147949219,0.22568726539611816,1625,1,1746107271.5064638,1746107271.771731
125.0,20.0,0.03269219398498535,0.23308372497558594,1625,2,1746107303.548952,1746107303.8147287
76.0,20.0,0.03301191329956055,0.2264115810394287,1626,1,1746107273.4243646,1746107273.6837885
125.0,20.0,0.03797626495361328,0.2320868968963623,1626,2,1746107305.466741,1746107305.736805
76.0,20.0,0.03137707710266113,0.22587823867797852,1627,1,1746107275.350628,1746107275.607884
125.0,20.0,0.04251575469970703,0.23379802703857422,1627,2,1746107307.3844943,1746107307.660809
76.0,20.0,0.03817629814147949,0.22531628608703613,1628,1,1746107277.268415,1746107277.5319078
125.0,20.0,0.03944754600524902,0.23271942138671875,1628,2,1746107309.300698,1746107309.5728655
76.0,20.0,0.041855573654174805,0.22576665878295898,1629,1,1746107279.1891627,1746107279.4567854
125.0,20.0,0.03233981132507324,0.23415422439575195,1629,2,1746107311.2209952,1746107311.48749
76.0,20.0,0.04318594932556152,0.22650766372680664,1630,1,1746107281.0063937,1746107281.2760878
125.0,20.0,0.0368955135345459,0.23393821716308594,1630,2,1746107313.0382702,1746107313.3091044
76.0,20.0,0.04015469551086426,0.2271108627319336,1631,1,1746107282.9232163,1746107283.1904824
125.0,20.0,0.04300856590270996,0.23418259620666504,1631,2,1746107314.9586184,1746107315.23581
76.0,20.0,0.03262209892272949,0.22663640975952148,1632,1,1746107284.8440115,1746107285.1032708
125.0,20.0,0.03894996643066406,0.23195576667785645,1632,2,1746107316.8791726,1746107317.1500788
76.0,20.0,0.03746819496154785,0.2265009880065918,1633,1,1746107286.7629325,1746107287.0269022
125.0,20.0,0.035033226013183594,0.23307061195373535,1633,2,1746107318.7961576,1746107319.064262
76.0,20.0,0.04194760322570801,0.2259998321533203,1634,1,1746107288.6805704,1746107288.9485185
125.0,20.0,0.0927731990814209,0.24984002113342285,1634,2,1746107321.3070247,1746107321.6496384
76.0,20.0,0.08676338195800781,0.24081945419311523,1635,1,1746107290.5222263,1746107290.8498094
125.0,20.0,0.0858604907989502,0.26365137100219727,1635,2,1746107322.5232756,1746107322.872788
76.0,20.0,0.04052448272705078,0.2270832061767578,1636,1,1746107260.4120793,1746107260.6796877
125.0,20.0,0.0462040901184082,0.23457646369934082,1636,2,1746107292.4428225,1746107292.7236032
174.0,20.0,0.04244709014892578,0.22950243949890137,1636,3,1746107324.4401708,1746107324.712121
76.0,20.0,0.031198740005493164,0.22686100006103516,1637,1,1746107262.3315585,1746107262.589619
125.0,20.0,0.04538154602050781,0.2351672649383545,1637,2,1746107294.3612368,1746107294.6417859
174.0,20.0,0.04730629920959473,0.22768616676330566,1637,3,1746107326.3585696,1746107326.6335623
76.0,20.0,0.04184842109680176,0.22600483894348145,1638,1,1746107264.2457304,1746107264.5135841
125.0,20.0,0.04389214515686035,0.2346048355102539,1638,2,1746107296.2823062,1746107296.5608037
174.0,20.0,0.04148125648498535,0.23007631301879883,1638,3,1746107328.3766668,1746107328.6482248
76.0,20.0,0.03781867027282715,0.22516322135925293,1639,1,1746107266.162946,1746107266.4259284
125.0,20.0,0.04489707946777344,0.23419666290283203,1639,2,1746107298.1991682,1746107298.4782622
174.0,20.0,0.054810523986816406,0.2299659252166748,1639,3,1746107330.202626,1746107330.487403
76.0,20.0,0.03448629379272461,0.22564315795898438,1640,1,1746107268.0774362,1746107268.3375661
125.0,20.0,0.04326796531677246,0.23464298248291016,1640,2,1746107300.1167274,1746107300.3946385
174.0,20.0,0.045148372650146484,0.23048186302185059,1640,3,1746107332.1203928,1746107332.3960233
76.0,20.0,0.04266071319580078,0.2264235019683838,1641,1,1746107269.992887,1746107270.2619717
125.0,20.0,0.048134803771972656,0.2333660125732422,1641,2,1746107302.0383058,1746107302.3198073
174.0,20.0,0.048553466796875,0.23224616050720215,1641,3,1746107334.0387702,1746107334.3195708
76.0,20.0,0.03619718551635742,0.22579431533813477,1642,1,1746107271.8084664,1746107272.0704584
125.0,20.0,0.034850120544433594,0.23388934135437012,1642,2,1746107303.8535872,1746107304.1223273
174.0,20.0,0.039716243743896484,0.23209643363952637,1642,3,1746107335.8601084,1746107336.1319222
76.0,20.0,0.042695045471191406,0.22683429718017578,1643,1,1746107273.7262814,1746107273.9958117
125.0,20.0,0.03943204879760742,0.23384904861450195,1643,2,1746107305.7714036,1746107306.0446854
174.0,20.0,0.0347447395324707,0.23227787017822266,1643,3,1746107337.7770386,1746107338.0440621
76.0,20.0,0.03916621208190918,0.22645258903503418,1644,1,1746107275.6530025,1746107275.9186218
125.0,20.0,0.03313922882080078,0.23345613479614258,1644,2,1746107307.689358,1746107307.955954
174.0,20.0,0.03579115867614746,0.23248577117919922,1644,3,1746107339.6952446,1746107339.963522
76.0,20.0,0.03459286689758301,0.2258620262145996,1645,1,1746107277.5704687,1746107277.830924
125.0,20.0,0.03922152519226074,0.2343904972076416,1645,2,1746107309.606968,1746107309.8805804
174.0,20.0,0.03267025947570801,0.23218989372253418,1645,3,1746107341.619475,1746107341.8843355
76.0,20.0,0.03703904151916504,0.22669196128845215,1646,1,1746107279.4912927,1746107279.7550242
125.0,20.0,0.03577899932861328,0.23395156860351562,1646,2,1746107311.5257306,1746107311.7954617
174.0,20.0,0.03153848648071289,0.22983431816101074,1646,3,1746107343.5422893,1746107343.8036628
76.0,20.0,0.04041790962219238,0.22588849067687988,1647,1,1746107281.3085694,1746107281.5748763
125.0,20.0,0.04185938835144043,0.2360401153564453,1647,2,1746107313.34062,1746107313.61852
174.0,20.0,0.04006028175354004,0.23244690895080566,1647,3,1746107345.3595834,1746107345.6320913
76.0,20.0,0.03760480880737305,0.2258164882659912,1648,1,1746107283.2257166,1746107283.4891384
125.0,20.0,0.036179304122924805,0.2347581386566162,1648,2,1746107315.260877,1746107315.5318148
174.0,20.0,0.03552985191345215,0.2319173812866211,1648,3,1746107347.2768207,1746107347.5442684
76.0,20.0,0.04270482063293457,0.22592687606811523,1649,1,1746107285.1462321,1746107285.4148648
125.0,20.0,0.039552927017211914,0.2339770793914795,1649,2,1746107317.1841419,1746107317.4576724
174.0,20.0,0.03239321708679199,0.23224210739135742,1649,3,1746107349.1936803,1746107349.4583158
76.0,20.0,0.034886837005615234,0.22521567344665527,1650,1,1746107287.0648906,1746107287.3249936
125.0,20.0,0.037027835845947266,0.23376941680908203,1650,2,1746107319.1011443,1746107319.371942
174.0,20.0,0.04347968101501465,0.409191370010376,1650,3,1746107351.1084614,1746107351.5611331
76.0,20.0,0.03792238235473633,0.22649073600769043,1651,1,1746107288.9833202,1746107289.2477338
125.0,20.0,0.12165307998657227,0.24620532989501953,1651,2,1746107321.308973,1746107321.6768317
174.0,20.0,0.08639168739318848,0.2574920654296875,1651,3,1746107353.3341942,1746107353.6780784
76.0,20.0,0.048375606536865234,0.2273883819580078,1652,1,1746107290.824682,1746107291.1004462
125.0,20.0,0.03551125526428223,0.23131060600280762,1652,2,1746107322.8255832,1746107323.0924056
174.0,20.0,0.039047956466674805,0.23123836517333984,1652,3,1746107354.870264,1746107355.1405509
76.0,20.0,0.037412405014038086,0.22685766220092773,1653,1,1746107260.7141244,1746107260.9783957
125.0,20.0,0.04006004333496094,0.23410534858703613,1653,2,1746107292.7448683,1746107293.0190341
174.0,20.0,0.04665875434875488,0.23087477684020996,1653,3,1746107324.8471887,1746107325.1247225
223.0,20.0,0.04430699348449707,0.23082804679870605,1653,4,1746107356.8846853,1746107357.1598208
76.0,20.0,0.04020571708679199,0.2259526252746582,1654,1,1746107262.6334407,1746107262.8995998
125.0,20.0,0.038541316986083984,0.23281121253967285,1654,2,1746107294.6641686,1746107294.9355223
174.0,20.0,0.036959171295166016,0.23031926155090332,1654,3,1746107326.764316,1746107327.031595
223.0,20.0,0.0341033935546875,0.22933173179626465,1654,4,1746107358.799002,1746107359.0624378
76.0,20.0,0.03942465782165527,0.2256612777709961,1655,1,1746107264.5474243,1746107264.812511
125.0,20.0,0.03732419013977051,0.23315834999084473,1655,2,1746107296.5849886,1746107296.8554716
174.0,20.0,0.03817892074584961,0.22936367988586426,1655,3,1746107328.681734,1746107328.9492772
76.0,20.0,0.03454470634460449,0.22651195526123047,1656,1,1746107266.4648364,1746107266.725894
