prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.06867122650146484,3.388533115386963,1745892254.32942,1745892257.7866275
543,332,0.04869794845581055,4.147239923477173,1745892255.0759962,1745892259.2719364
550,286,0.051154136657714844,3.5850002765655518,1745892255.822595,1745892259.45875
499,270,0.05008339881896973,3.4217445850372314,1745892256.5689461,1745892260.0407746
1341,240,0.057318925857543945,3.065197229385376,1745892257.3146458,1745892260.4371626
765,125,0.041376590728759766,1.6011714935302734,1745892258.0614522,1745892259.7040007
981,181,0.06092953681945801,2.2960174083709717,1745892258.8073618,1745892261.1643093
968,244,0.06177067756652832,3.0457136631011963,1745892259.5538163,1745892262.6613016
673,51,0.06129026412963867,0.6115572452545166,1745892260.2998717,1745892260.9727197
311,475,0.04483604431152344,5.881420612335205,1745892261.0459094,1745892266.9721665
1209,77,0.060949087142944336,0.9417605400085449,1745892261.792153,1745892262.794863
341,234,0.03659772872924805,2.8719773292541504,1745892262.5383785,1745892265.4469538
517,250,0.04374098777770996,3.099444627761841,1745892263.2848012,1745892266.4279873
477,262,0.050258636474609375,3.2617995738983154,1745892264.0308218,1745892267.3428805
1056,162,0.048857927322387695,2.012723922729492,1745892264.7771013,1745892266.8386836
222,310,0.0391850471496582,3.8394975662231445,1745892265.5231266,1745892269.40181
708,108,0.04550623893737793,1.3315260410308838,1745892266.269771,1745892267.6468043
763,137,0.04582023620605469,1.6772339344024658,1745892267.0161958,1745892268.7392502
818,460,0.03277754783630371,5.719830274581909,1745892267.7629344,1745892273.5155427
875,247,0.045307159423828125,3.058920383453369,1745892268.5089219,1745892271.61315
348,53,0.03746604919433594,0.6332261562347412,1745892269.2544994,1745892269.925192
190,130,0.034120798110961914,1.625476360321045,1745892270.0015752,1745892271.661173
1071,297,0.04038381576538086,3.7515900135040283,1745892270.7476444,1745892274.5396187
1184,327,0.06834173202514648,4.110213994979858,1745892271.4945936,1745892275.67315
377,30,0.04622912406921387,0.3576672077178955,1745892272.2401385,1745892272.6440356
924,222,0.0573422908782959,2.7892708778381348,1745892272.9867551,1745892275.8333688
826,173,0.04656410217285156,2.1628167629241943,1745892273.7324555,1745892275.941837
696,158,0.04730939865112305,1.9612205028533936,1745892274.4791124,1745892276.4876428
717,276,0.046819210052490234,3.4253580570220947,1745892275.225578,1745892278.697756
507,246,0.04062151908874512,3.0567944049835205,1745892275.9718685,1745892279.0692847
816,321,0.06873011589050293,3.9947588443756104,1745892276.7174897,1745892280.780979
351,134,0.03629779815673828,1.654174566268921,1745892277.4634993,1745892279.1539721
340,84,0.044322967529296875,1.0335180759429932,1745892278.210009,1745892279.2878504
593,231,0.05036115646362305,2.8807907104492188,1745892278.9568787,1745892281.888031
982,186,0.04957699775695801,2.3384246826171875,1745892279.7024813,1745892282.0904834
1214,416,0.07225513458251953,5.266849994659424,1745892280.4489877,1745892285.7880938
899,434,0.037956953048706055,5.4883198738098145,1745892281.1950178,1745892286.721295
450,272,0.050298213958740234,3.431678533554077,1745892281.9412327,1745892285.42321
535,197,0.04084205627441406,2.4922616481781006,1745892282.6878684,1745892285.2209723
898,250,0.05000162124633789,3.176626205444336,1745892283.4337976,1745892286.660426
633,120,0.04964017868041992,1.5447442531585693,1745892284.1808882,1745892285.7752728
686,120,0.049803733825683594,1.5242390632629395,1745892284.9268084,1745892286.5008516
1000,146,0.06341385841369629,1.7810254096984863,1745892285.6732538,1745892287.5176935
487,7,0.043706655502319336,0.07535719871520996,1745892286.4186542,1745892286.5377185
782,253,0.03744935989379883,3.1073050498962402,1745892287.1655672,1745892290.3103218
558,41,0.04073476791381836,0.4832456111907959,1745892287.9207125,1745892288.444693
488,88,0.04980921745300293,1.0786182880401611,1745892288.657797,1745892289.786225
926,433,0.051932573318481445,5.4295334815979,1745892289.4048977,1745892294.8863642
780,350,0.06089973449707031,4.374619007110596,1745892290.1499937,1745892294.585513
920,298,0.0322878360748291,3.758819103240967,1745892290.896787,1745892294.687894
614,281,0.05001330375671387,3.533482313156128,1745892291.6431057,1745892295.226602
1204,59,0.05897259712219238,0.7383618354797363,1745892292.3898275,1745892293.1871622
889,23,0.04504227638244629,0.27510595321655273,1745892293.140706,1745892293.460855
578,272,0.052643537521362305,3.4084889888763428,1745892293.8819134,1745892297.3430464
738,327,0.04697227478027344,4.120896339416504,1745892294.6277044,1745892298.7955732
997,289,0.04933953285217285,3.6483170986175537,1745892295.3744206,1745892299.0720775
879,381,0.053820133209228516,4.853257417678833,1745892296.1209133,1745892301.0279915
844,326,0.05235695838928223,4.159941911697388,1745892296.8674946,1745892301.079794
775,193,0.0566103458404541,2.455794334411621,1745892297.6132925,1745892300.1256976
1596,223,0.053076744079589844,2.84126353263855,1745892298.35971,1745892301.2540507
895,261,0.04959392547607422,3.32259202003479,1745892299.1062512,1745892302.4784377
1172,302,0.04433798789978027,3.847804069519043,1745892299.852051,1745892303.7441936
1218,162,0.04745984077453613,2.0424392223358154,1745892300.5987017,1745892302.6886013
739,391,0.03731679916381836,4.952043056488037,1745892301.3445034,1745892306.3338635
810,318,0.06138253211975098,4.019624471664429,1745892302.0912147,1745892306.172222
1556,51,0.053740739822387695,0.6261391639709473,1745892302.8373291,1745892303.5172095
602,150,0.04915738105773926,1.8682479858398438,1745892303.5834315,1745892305.5008373
778,204,0.05196690559387207,2.571706771850586,1745892304.3298817,1745892306.9535558
742,254,0.049204349517822266,3.2121973037719727,1745892305.0756617,1745892308.3370645
1443,189,0.060297489166259766,2.3804244995117188,1745892305.8222787,1745892308.2630014
541,294,0.05159425735473633,3.713388681411743,1745892306.568259,1745892310.3332422
857,125,0.041929006576538086,1.5934696197509766,1745892307.3142126,1745892308.9496117
1024,175,0.05041646957397461,2.2035892009735107,1745892308.0615234,1745892310.3155298
1404,366,0.06615567207336426,4.550659656524658,1745892308.808143,1745892313.4249587
1152,67,0.05282783508300781,0.8240401744842529,1745892309.5540535,1745892310.430922
407,49,0.03191566467285156,0.5834267139434814,1745892310.3000522,1745892310.9153955
327,10,0.04434084892272949,0.10969734191894531,1745892311.0465796,1745892311.2006183
1402,177,0.05612325668334961,2.2047431468963623,1745892311.7923806,1745892314.0532472
1624,266,0.05756044387817383,3.322814702987671,1745892312.5381272,1745892315.9185028
516,154,0.03875446319580078,1.914186716079712,1745892313.284988,1745892315.2379296
1150,276,0.045575618743896484,3.4667937755584717,1745892314.0307572,1745892317.543127
1016,246,0.049421072006225586,3.1068778038024902,1745892314.801885,1745892317.9581842
871,328,0.04577040672302246,4.129269599914551,1745892315.5237617,1745892319.6988022
1003,238,0.04686594009399414,2.9971916675567627,1745892316.2702436,1745892319.3143017
760,206,0.06149411201477051,2.5856428146362305,1745892317.015679,1745892319.6628165
