prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.06749248504638672,3.350249767303467,1745898485.481374,1745898488.8991199
543,332,0.04442644119262695,4.094429969787598,1745898486.481239,1745898490.6200993
550,278,0.048151254653930664,3.436899185180664,1745898487.4809554,1745898490.9660063
499,270,0.05252647399902344,3.344926595687866,1745898488.4810572,1745898491.8785105
1341,240,0.05269885063171387,2.9670135974884033,1745898489.4810386,1745898492.5007513
765,125,0.05021858215332031,1.54335355758667,1745898490.4819477,1745898492.0755203
981,181,0.05119490623474121,2.253249168395996,1745898491.481303,1745898493.7857473
968,244,0.06583023071289062,2.99294114112854,1745898492.481063,1745898495.5398347
673,51,0.05827498435974121,0.6085448265075684,1745898493.4815416,1745898494.1483622
311,475,0.041738033294677734,5.807631015777588,1745898494.4817958,1745898500.3311656
1209,77,0.058465003967285156,0.9185268878936768,1745898495.4810221,1745898496.4580145
341,234,0.04357743263244629,2.8343615531921387,1745898496.4812336,1745898499.3591728
517,250,0.04149484634399414,3.0694525241851807,1745898497.4815056,1745898500.5924537
477,262,0.0494847297668457,3.2118990421295166,1745898498.4818494,1745898501.7432337
1056,162,0.05140876770019531,1.9722883701324463,1745898499.4811177,1745898501.504815
222,310,0.0370945930480957,3.7611989974975586,1745898500.4815333,1745898504.2798274
708,108,0.04399895668029785,1.3016722202301025,1745898501.4809575,1745898502.8266292
763,137,0.05449342727661133,1.6498947143554688,1745898502.481361,1745898504.1857498
818,460,0.0336000919342041,5.6454126834869385,1745898503.4812431,1745898509.1602566
875,247,0.05036306381225586,3.0034775733947754,1745898504.480891,1745898507.534732
348,46,0.03377723693847656,0.5480937957763672,1745898505.4819033,1745898506.063775
190,130,0.02996039390563965,1.5855882167816162,1745898506.4818578,1745898508.0974069
1071,297,0.0412135124206543,3.6789636611938477,1745898507.481761,1745898511.2019384
1184,327,0.07345700263977051,4.055153131484985,1745898508.481945,1745898512.6105554
377,30,0.03831839561462402,0.3535938262939453,1745898509.4819589,1745898509.8738713
924,222,0.05426311492919922,2.746417284011841,1745898510.4820795,1745898513.2827604
826,173,0.05277514457702637,2.1415817737579346,1745898511.481459,1745898513.6758165
696,158,0.0532679557800293,1.923081398010254,1745898512.482626,1745898514.4589756
717,276,0.047322750091552734,3.381021738052368,1745898513.4815063,1745898516.9098513
507,246,0.03390192985534668,3.0233659744262695,1745898514.4818356,1745898517.539104
816,321,0.06572890281677246,3.9197821617126465,1745898515.481254,1745898519.4667656
351,134,0.037652015686035156,1.6274359226226807,1745898516.4811485,1745898518.1462367
340,84,0.0445554256439209,1.0228230953216553,1745898517.4817185,1745898518.5490973
593,231,0.04254603385925293,2.8334550857543945,1745898518.4816008,1745898521.3576024
982,186,0.0498812198638916,2.290217638015747,1745898519.4810762,1745898521.8211756
1214,416,0.06547737121582031,5.184042692184448,1745898520.4819567,1745898525.731477
899,434,0.04433917999267578,5.419008731842041,1745898521.4811437,1745898526.9444919
450,272,0.04746222496032715,3.401674747467041,1745898522.4814892,1745898525.9306266
535,197,0.05528736114501953,2.4681196212768555,1745898523.4810977,1745898526.0045052
898,250,0.058768272399902344,3.1347262859344482,1745898524.4812896,1745898527.6747847
633,120,0.047866106033325195,1.4883208274841309,1745898525.4814014,1745898527.0175889
686,120,0.04395103454589844,1.4766178131103516,1745898526.4811277,1745898528.001697
1000,146,0.05757260322570801,1.7367985248565674,1745898527.4814017,1745898529.2757733
487,9,0.037134647369384766,0.09661698341369629,1745898528.4808817,1745898528.6146336
782,253,0.03445029258728027,3.055724859237671,1745898529.481134,1745898532.5713096
558,50,0.033731937408447266,0.5893452167510986,1745898530.4807937,1745898531.1038718
488,126,0.05107879638671875,1.534217357635498,1745898531.4810216,1745898533.0663183
926,433,0.05248403549194336,5.374666690826416,1745898532.4815407,1745898537.9086916
780,350,0.05875897407531738,4.355706214904785,1745898533.4813874,1745898537.895853
920,298,0.03188681602478027,3.7278950214385986,1745898534.480834,1745898538.240616
614,281,0.05643010139465332,3.5117805004119873,1745898535.4812155,1745898539.0494268
1204,59,0.050926923751831055,0.7291746139526367,1745898536.4818885,1745898537.2619905
889,192,0.037772417068481445,2.3741328716278076,1745898537.481457,1745898539.8933625
578,272,0.04101824760437012,3.357835531234741,1745898538.4827054,1745898541.8815594
738,327,0.04507732391357422,4.069615602493286,1745898539.4812508,1745898543.5959444
997,289,0.04462265968322754,3.6028707027435303,1745898540.4813585,1745898544.1288521
879,381,0.05408954620361328,4.784586429595947,1745898541.4813032,1745898546.3199794
844,326,0.05576634407043457,4.102933406829834,1745898542.4820044,1745898546.6407044
775,193,0.051186561584472656,2.4248008728027344,1745898543.481669,1745898545.9576569
1596,223,0.04555463790893555,2.7954254150390625,1745898544.4818218,1745898547.3228025
895,261,0.04603433609008789,3.2629554271698,1745898545.481317,1745898548.7903073
1172,302,0.04708075523376465,3.7678732872009277,1745898546.4812956,1745898550.29625
1218,162,0.052715301513671875,2.0227203369140625,1745898547.4809613,1745898549.5563972
739,391,0.03413701057434082,4.880407810211182,1745898548.4810393,1745898553.3955846
810,318,0.06109023094177246,3.948793411254883,1745898549.4815402,1745898553.4914246
1556,51,0.05175924301147461,0.6190924644470215,1745898550.4813902,1745898551.1522424
602,150,0.05079936981201172,1.8509676456451416,1745898551.481042,1745898553.3828092
778,301,0.04894399642944336,3.7463674545288086,1745898552.4812486,1745898556.2765603
742,254,0.050070762634277344,3.162996530532837,1745898553.4815378,1745898556.6946056
1443,189,0.05641770362854004,2.3520381450653076,1745898554.4816852,1745898556.8901417
541,294,0.046736717224121094,3.65563702583313,1745898555.481687,1745898559.1840615
857,125,0.03756594657897949,1.529541254043579,1745898556.4816616,1745898558.0487692
1024,175,0.05264163017272949,2.1809308528900146,1745898557.4815867,1745898559.7151597
1404,366,0.07430052757263184,4.4713311195373535,1745898558.4814317,1745898563.0270638
1152,67,0.047635555267333984,0.8074536323547363,1745898559.4813824,1745898560.3364718
407,44,0.039133310317993164,0.5215973854064941,1745898560.4809268,1745898561.041658
327,10,0.03405594825744629,0.1093590259552002,1745898561.4810433,1745898561.6244588
1402,177,0.044679880142211914,2.17472505569458,1745898562.4814649,1745898564.70087
1624,266,0.05802345275878906,3.2772467136383057,1745898563.4816272,1745898566.8168979
516,157,0.04647016525268555,1.9198544025421143,1745898564.4818342,1745898566.448159
1150,276,0.042989253997802734,3.414003849029541,1745898565.481867,1745898568.9388607
1016,246,0.0377964973449707,3.0506720542907715,1745898566.4817064,1745898569.5701752
871,328,0.03646135330200195,4.085728645324707,1745898567.4809299,1745898571.60312
1003,238,0.06105184555053711,2.9536499977111816,1745898568.4815521,1745898571.4962547
760,206,0.05054163932800293,2.546530246734619,1745898569.481525,1745898572.0785973
1159,508,0.050537109375,6.338683366775513,1745898570.4814568,1745898576.8706777
505,107,0.05459713935852051,1.2959251403808594,1745898571.486176,1745898572.8366992
440,185,0.03784036636352539,2.277733564376831,1745898572.4812927,1745898574.7968671
835,271,0.05063652992248535,3.4134509563446045,1745898573.481072,1745898576.94516
1182,284,0.04439592361450195,3.592930555343628,1745898574.4808068,1745898578.1181335
1641,305,0.054552316665649414,3.8596246242523193,1745898575.4814997,1745898579.395677
1344,346,0.05884432792663574,4.3763041496276855,1745898576.4811027,1745898580.9162514
760,318,0.05055832862854004,4.013240337371826,1745898577.481121,1745898581.5449202
839,275,0.05085468292236328,3.455901861190796,1745898578.4811845,1745898581.9879417
1152,232,0.053949594497680664,2.8829047679901123,1745898579.4813528,1745898582.4182074
831,129,0.04331016540527344,1.596707820892334,1745898580.4817853,1745898582.121804
858,9,0.03817868232727051,0.10003519058227539,1745898581.4813008,1745898581.6195152
1158,266,0.034836530685424805,3.2125096321105957,1745898582.4814224,1745898585.728769
505,124,0.03031754493713379,1.5155105590820312,1745898583.4818606,1745898585.0276892
1120,51,0.05383110046386719,0.6142385005950928,1745898584.4809957,1745898585.1490657
634,137,0.04093790054321289,1.6253552436828613,1745898585.4815655,1745898587.147859
634,72,0.04471898078918457,0.8441746234893799,1745898586.481296,1745898587.37019
1368,443,0.05120062828063965,5.523653030395508,1745898587.4810483,1745898593.0559025
1133,215,0.054039955139160156,2.685598850250244,1745898588.4814053,1745898591.2210445
1222,319,0.04668593406677246,4.024722337722778,1745898589.481364,1745898593.5527725
1013,282,0.05945873260498047,3.5406947135925293,1745898590.481088,1745898594.081242
1326,95,0.04494166374206543,1.1907482147216797,1745898591.481379,1745898592.7170691
1110,223,0.04479074478149414,2.7702744007110596,1745898592.481623,1745898595.2966886
864,293,0.04559493064880371,3.647484540939331,1745898593.4815922,1745898597.1746721
1086,248,0.05347466468811035,3.1024060249328613,1745898594.4812937,1745898597.6371746
1298,307,0.05194735527038574,3.8412210941314697,1745898595.4812376,1745898599.3744063
1267,417,0.0609738826751709,5.245278358459473,1745898596.4817815,1745898601.7880342
1176,210,0.054860830307006836,2.6234776973724365,1745898597.481716,1745898600.160055
974,193,0.041049957275390625,2.425569534301758,1745898598.4810815,1745898600.9477015
