prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
658,275,0.06250381469726562,8.40736699104309,1746804146.8605666,1746804155.3304377
512,332,0.0937962532043457,9.561171531677246,1746804146.871435,1746804156.5264032
517,286,0.08381485939025879,8.612032175064087,1746804146.8820803,1746804155.5779276
483,270,0.07351899147033691,8.269810199737549,1746804146.892688,1746804155.2360175
1309,240,0.06268310546875,7.587066650390625,1746804146.902891,1746804154.5526414
742,125,0.10459709167480469,4.6801979541778564,1746804146.913587,1746804151.6983824
947,181,0.09211587905883789,6.107436656951904,1746804146.9242525,1746804153.1238055
973,244,0.08251237869262695,7.655536413192749,1746804146.934803,1746804154.6728523
646,51,0.07135915756225586,2.642655849456787,1746804146.9454038,1746804149.659419
267,475,0.1092522144317627,11.927271842956543,1746804146.955158,1746804158.991682
1179,77,0.09863018989562988,3.3521854877471924,1746804146.9666636,1746804150.4174798
306,234,0.08956694602966309,7.390890121459961,1746804146.9762235,1746804154.4566805
482,250,0.07652592658996582,7.761297941207886,1746804146.986982,1746804154.8248065
448,262,0.06651997566223145,8.047221660614014,1746804146.9975746,1746804155.1113164
1029,162,0.09543561935424805,5.612314701080322,1746804147.008174,1746804152.7159245
199,310,0.0842599868774414,9.05234146118164,1746804147.018657,1746804156.155259
680,108,0.07333016395568848,4.223102807998657,1746804147.0292556,1746804151.325689
731,137,0.06503796577453613,4.963893890380859,1746804147.0398357,1746804152.0687678
779,460,0.0840458869934082,11.669371604919434,1746804147.0505621,1746804158.8039799
845,247,0.07490324974060059,7.678637266159058,1746804147.061123,1746804154.8146636
323,53,0.06627178192138672,2.6926276683807373,1746804147.0717304,1746804149.8306298
165,130,0.05543828010559082,4.775403022766113,1746804147.0815144,1746804151.912356
1041,297,0.08466482162475586,8.751190900802612,1746804147.0922673,1746804155.9281232
1128,327,0.07283377647399902,9.356529235839844,1746804147.1049907,1746804156.534354
344,30,0.06581664085388184,1.5033190250396729,1746804147.1136136,1746804148.6827495
899,222,0.10732746124267578,7.0304059982299805,1746804147.1242557,1746804154.2619894
802,173,0.09609842300415039,5.830568552017212,1746804147.134765,1746804153.0614321
647,158,0.08433699607849121,5.450981616973877,1746804147.1454833,1746804152.680802
689,276,0.0740809440612793,8.275440454483032,1746804147.155136,1746804155.5046577
473,246,0.1104736328125,7.584184408187866,1746804147.1657753,1746804154.8604336
707,321,0.09212946891784668,9.181739568710327,1746804147.1810284,1746804156.4548976
326,134,0.08794665336608887,4.846311092376709,1746804147.1873925,1746804152.1216505
312,84,0.07284927368164062,3.521501302719116,1746804147.1979983,1746804150.792349
570,231,0.06385231018066406,7.216486215591431,1746804147.208701,1746804154.4890397
960,186,0.10870528221130371,6.111279249191284,1746804147.2186856,1746804153.4386704
1188,416,0.09316086769104004,10.857767820358276,1746804147.232569,1746804158.183498
887,434,0.08311343193054199,11.154858350753784,1746804147.2398152,1746804158.4777875
424,272,0.07486963272094727,8.13585376739502,1746804147.2504075,1746804155.461131
501,248,0.11690068244934082,7.575216293334961,1746804147.2609894,1746804154.9531066
860,217,0.10181474685668945,6.835204601287842,1746804147.2766342,1746804154.2136538
611,120,0.09771347045898438,4.426266193389893,1746804147.2815826,1746804151.8055627
645,96,0.08919334411621094,3.8024866580963135,1746804147.292226,1746804151.1839066
972,146,0.07723164558410645,5.1046624183654785,1746804147.3027434,1746804152.4846377
466,9,0.10564351081848145,0.4066123962402344,1746804147.31333,1746804147.8255875
747,253,0.0951688289642334,7.664769411087036,1746804147.3278816,1746804155.08782
532,48,0.08934831619262695,2.4071223735809326,1746804147.3341026,1746804149.8305736
453,124,0.07692408561706543,4.490770101547241,1746804147.3446865,1746804151.912381
896,433,0.06861233711242676,11.070122718811035,1746804147.3552594,1746804158.4939945
743,350,0.09874081611633301,9.60474181175232,1746804147.3658159,1746804157.069299
886,298,0.08264327049255371,8.601651668548584,1746804147.3816416,1746804156.0659368
586,281,0.0778648853302002,8.250333547592163,1746804147.3869565,1746804155.7151551
1170,112,0.07251954078674316,4.173415899276733,1746804147.3975685,1746804151.6435041
850,205,0.10555529594421387,6.488816499710083,1746804147.4081547,1746804154.0025268
543,272,0.09483456611633301,8.026828289031982,1746804147.4253845,1746804155.5470476
709,327,0.09031224250793457,9.145483016967773,1746804147.4296463,1746804156.6654418
965,289,0.07931041717529297,8.38871693611145,1746804147.4402425,1746804155.9082701
849,381,0.11800765991210938,10.101385593414307,1746804147.450033,1746804157.6694264
809,326,0.10040831565856934,9.102965354919434,1746804147.46064,1746804156.6640139
762,193,0.09315681457519531,6.171484708786011,1746804147.4722507,1746804153.7368925
1560,223,0.08223962783813477,6.8927531242370605,1746804147.4816551,1746804154.456648
874,261,0.07172131538391113,7.766587972640991,1746804147.4924376,1746804155.3307471
1139,302,0.11107063293457031,8.605573892593384,1746804147.5029786,1746804156.219623
1229,162,0.08910584449768066,5.3724000453948975,1746804147.5207403,1746804152.9822464
708,391,0.08766531944274902,10.248162031173706,1746804147.5240457,1746804157.8598733
747,318,0.08031654357910156,8.919851779937744,1746804147.534883,1746804156.5350516
1528,51,0.11643528938293457,2.552769660949707,1746804147.545365,1746804150.2145703
567,150,0.10629677772521973,5.053666830062866,1746804147.5559194,1746804152.7158833
742,301,0.09800505638122559,8.552471160888672,1746804147.5685997,1746804156.2190762
713,254,0.08957409858703613,7.554090976715088,1746804147.5767634,1746804155.2204287
1414,189,0.07979989051818848,6.020982980728149,1746804147.5873864,1746804153.6881695
518,294,0.12870359420776367,8.370115280151367,1746804147.5971742,1746804156.0959933
828,131,0.09905123710632324,4.56952166557312,1746804147.6170447,1746804152.2856178
989,175,0.1037893295288086,5.655805826187134,1746804147.6184392,1746804153.3780346
1360,366,0.09606528282165527,9.731828927993774,1746804147.6292465,1746804157.457141
1123,67,0.08023691177368164,2.8583173751831055,1746804147.6398838,1746804150.5784383
381,49,0.1181952953338623,2.445882558822632,1746804147.650452,1746804150.2145302
299,10,0.10397839546203613,0.46712279319763184,1746804147.6711404,1746804148.2422426
1366,177,0.09503316879272461,5.671154737472534,1746804147.6724484,1746804153.4386365
1561,266,0.08750391006469727,7.752689361572266,1746804147.681711,1746804155.5219045
483,130,0.08132672309875488,4.511877775192261,1746804147.6924546,1746804152.2856593
1125,259,0.1177365779876709,7.577354192733765,1746804147.7030213,1746804155.3981128
989,246,0.10847687721252441,7.289308071136475,1746804147.713735,1746804155.1115203
817,305,0.09289121627807617,8.53682255744934,1746804147.727449,1746804156.357163
972,238,0.08873295783996582,7.105868101119995,1746804147.734835,1746804154.9294362
718,206,0.0794973373413086,6.341234922409058,1746804147.7454882,1746804154.166221
1039,508,0.10950398445129395,11.807772397994995,1746804147.755104,1746804159.6723807
480,107,0.08762145042419434,3.8332455158233643,1746804147.7775502,1746804151.6984172
412,185,0.0736541748046875,5.835559844970703,1746804147.778926,1746804153.6881404
813,271,0.07291746139526367,7.8117616176605225,1746804147.7872891,1746804155.6719687
1160,284,0.09967780113220215,8.073968648910522,1746804147.7978172,1746804155.971464
1614,305,0.12653088569641113,8.473770141601562,1746804147.808392,1746804156.4086933
1330,346,0.11513733863830566,9.248987436294556,1746804147.8260303,1746804157.1901555
736,318,0.11296367645263672,8.722671270370483,1746804147.829095,1746804156.66473
799,275,0.10261821746826172,7.858479022979736,1746804147.8400419,1746804155.8011394
1111,232,0.15401053428649902,6.87820839881897,1746804147.8505862,1746804154.8828053
815,129,0.13777470588684082,4.381406545639038,1746804147.8665578,1746804152.3857396
816,12,0.1212160587310791,0.6275224685668945,1746804147.8712363,1746804148.6199753
1123,266,0.1158595085144043,7.6322410106658936,1746804147.8818567,1746804155.6299574
485,125,0.09845256805419922,4.285537242889404,1746804147.901699,1746804152.285689
1093,51,0.09833073616027832,2.41538405418396,1746804147.9038243,1746804150.4175394
608,137,0.0861203670501709,4.58381724357605,1746804147.9133286,1746804152.5832665
596,77,0.1260852813720703,2.975816488265991,1746804147.9239683,1746804151.0258703
1336,443,0.1221621036529541,10.776728630065918,1746804147.9354265,1746804158.8343177
1091,215,0.10053348541259766,6.442662477493286,1746804147.9516132,1746804154.4948094
1185,319,0.09472227096557617,8.665646076202393,1746804147.955922,1746804156.7162905
985,282,0.08528757095336914,7.938761949539185,1746804147.9665868,1746804155.9906366
1289,193,0.13544392585754395,5.8898820877075195,1746804147.9772332,1746804154.0025594
1070,223,0.10976862907409668,6.623921155929565,1746804147.9871378,1746804154.7208278
829,293,0.10187530517578125,8.131038188934326,1746804148.0058148,1746804156.2387285
1056,248,0.10162663459777832,7.1790947914123535,1746804148.0079618,1746804155.2886834
1259,307,0.08169031143188477,8.406345844268799,1746804148.0186133,1746804156.50665
1237,417,0.13635468482971191,10.311123847961426,1746804148.0292397,1746804158.4767184
1132,210,0.12369060516357422,6.26851224899292,1746804148.0394094,1746804154.4316127
958,193,0.10557031631469727,5.861796617507935,1746804148.0594635,1746804154.0268307
1792,344,0.10634756088256836,9.054911375045776,1746804148.0605109,1746804157.22177
1193,327,0.08504581451416016,8.745497465133667,1746804148.0713186,1746804156.9018621
1450,231,0.14014983177185059,6.730527400970459,1746804148.0820897,1746804154.9527671
1448,84,0.13991284370422363,3.0633304119110107,1746804148.0926461,1746804151.2958896
1103,367,0.12061023712158203,9.416917085647583,1746804148.1130898,1746804157.6506174
1063,335,0.1145021915435791,8.845731735229492,1746804148.114073,1746804157.0743074
1776,10,0.10369372367858887,0.5201265811920166,1746804148.1244602,1746804148.748281
733,192,0.09488034248352051,5.797266244888306,1746804148.1347144,1746804154.026861
1052,205,0.13851141929626465,6.075742244720459,1746804148.1454458,1746804154.3596997
975,229,0.1282038688659668,6.644740104675293,1746804148.1564672,1746804154.9294114
1703,174,0.10978245735168457,5.326723337173462,1746804148.1771002,1746804153.6136062
821,116,0.1532127857208252,3.8722078800201416,1746804148.1782973,1746804152.2037199
983,137,0.15357184410095215,4.363560676574707,1746804148.1867633,1746804152.703896
1177,134,0.1443009376525879,4.314637660980225,1746804148.197802,1746804152.6567407
1732,79,0.13520336151123047,2.8733227252960205,1746804148.208373,1746804151.2168994
1208,144,0.16055035591125488,4.531283855438232,1746804148.2191374,1746804152.9109719
441,236,0.13831043243408203,6.7514941692352295,1746804148.2422512,1746804155.132056
323,133,0.1385021209716797,4.275289058685303,1746804148.242924,1746804152.6567152
1623,260,0.13327836990356445,7.267342567443848,1746804148.249917,1746804155.6505382
1864,61,0.12543535232543945,2.365741729736328,1746804148.26086,1746804150.7520373
723,12,0.1753673553466797,0.6457993984222412,1746804148.2745817,1746804149.0957487
1403,289,0.14819025993347168,7.8371052742004395,1746804148.2940528,1746804156.2793489
1255,132,0.1469409465789795,4.21504807472229,1746804148.2946982,1746804152.6566875
1150,263,0.14765453338623047,7.285292387008667,1746804148.303209,1746804155.7361565
1226,349,0.12966489791870117,8.958762645721436,1746804148.3138096,1746804157.4022374
934,236,0.16102123260498047,6.678057432174683,1746804148.3372915,1746804155.1763704
1545,495,0.1539919376373291,11.161040544509888,1746804148.3449173,1746804159.65995
626,127,0.15279030799865723,4.058854341506958,1746804148.347221,1746804152.558866
618,352,0.14198803901672363,8.977383375167847,1746804148.3553967,1746804157.4747684
1101,225,0.18929409980773926,6.397806882858276,1746804148.3659809,1746804154.9530823
1466,554,0.1621551513671875,11.808201789855957,1746804148.3895726,1746804160.3599298
1937,473,0.1679089069366455,10.82198452949524,1746804148.3911817,1746804159.3810754
1689,396,0.15316009521484375,9.69632363319397,1746804148.397227,1746804158.246711
1066,295,0.14676499366760254,7.8808348178863525,1746804148.4077914,1746804156.4353914
1089,266,0.13883614540100098,7.286273241043091,1746804148.418341,1746804155.8434505
1355,248,0.17136168479919434,6.872638702392578,1746804148.438919,1746804155.4829197
958,210,0.1613602638244629,6.010160207748413,1746804148.4528847,1746804154.6244056
1036,110,0.16295909881591797,3.531332492828369,1746804148.4536126,1746804152.1479044
1394,109,0.15710091590881348,3.5302846431732178,1746804148.4604857,1746804152.1478715
955,162,0.14244389533996582,4.851208686828613,1746804148.4710867,1746804153.4647396
1221,55,0.18108797073364258,2.082756757736206,1746804148.4881556,1746804150.7520006
753,179,0.18032193183898926,5.225355863571167,1746804148.501372,1746804153.9070501
692,30,0.16744470596313477,1.4416992664337158,1746804148.5033078,1746804150.1124523
1793,436,0.15515375137329102,10.22346568107605,1746804148.513814,1746804158.8924336
1306,366,0.14639019966125488,9.103509187698364,1746804148.5234647,1746804157.7733643
1506,353,0.14217329025268555,8.867916107177734,1746804148.534085,1746804157.544175
1347,360,0.18060970306396484,8.944822788238525,1746804148.5614235,1746804157.6868563
1491,308,0.17737174034118652,7.996881723403931,1746804148.5627809,1746804156.7370346
1307,223,0.1798079013824463,6.229777574539185,1746804148.565767,1746804154.9753528
1127,273,0.15742945671081543,7.318522930145264,1746804148.5764525,1746804156.0524054
1326,515,0.15248942375183105,11.21476697921753,1746804148.5872514,1746804159.954508
1575,258,0.20208358764648438,6.9496026039123535,1746804148.6054175,1746804155.757104
1817,387,0.192979097366333,9.353765726089478,1746804148.6199853,1746804158.1667306
1351,223,0.18964600563049316,6.187349557876587,1746804148.6206748,1746804154.997671
1154,246,0.18641924858093262,6.688863039016724,1746804148.629182,1746804155.5044646
1539,134,0.1766810417175293,4.012480735778809,1746804148.6397889,1746804152.828951
1691,184,0.16260170936584473,5.2616236209869385,1746804148.6499403,1746804154.0741658
1602,113,0.19286847114562988,3.4859113693237305,1746804148.6827586,1746804152.3615386
1491,491,0.20369625091552734,10.796477794647217,1746804148.6840641,1746804159.6842384
1394,394,0.2020115852355957,9.411327600479126,1746804148.6847353,1746804158.2980747
1787,29,0.19274258613586426,1.2276360988616943,1746804148.6921268,1746804150.1125057
951,59,0.17895293235778809,1.9989995956420898,1746804148.7027402,1746804150.8806932
1214,250,0.16994500160217285,6.725237607955933,1746804148.7133307,1746804155.6085136
945,113,0.18236517906188965,3.446906089782715,1746804148.7323058,1746804152.361577
1135,341,0.16581058502197266,8.491351842880249,1746804148.747566,1746804157.4047287
1320,574,0.16405153274536133,11.739314794540405,1746804148.7482893,1746804160.651656
1391,368,0.15632343292236328,8.96502137184143,1746804148.755598,1746804157.8769433
470,9,0.14900660514831543,0.4772329330444336,1746804148.7662323,1746804149.3924723
1945,84,0.1407639980316162,2.7005255222320557,1746804148.7761059,1746804151.6173956
837,12,0.12709975242614746,0.5750923156738281,1746804148.7868578,1746804149.4890504
1699,476,0.2118241786956787,10.502679824829102,1746804148.8042278,1746804159.518732
1403,159,0.18729639053344727,4.537833213806152,1746804148.8193552,1746804153.5444853
1591,1,0.18450164794921875,0.015939950942993164,1746804148.8200662,1746804149.020508
771,92,0.17668533325195312,2.8270301818847656,1746804148.8293734,1746804151.833089
972,124,0.16741228103637695,3.649280071258545,1746804148.839962,1746804152.6566546
1347,235,0.16369390487670898,6.316497087478638,1746804148.8504832,1746804155.3306744
1375,237,0.22993135452270508,6.332278728485107,1746804148.8738751,1746804155.4360855
1360,264,0.21457743644714355,6.899868488311768,1746804148.88855,1746804156.0029962
1608,254,0.21165108680725098,6.697935581207275,1746804148.891895,1746804155.801482
1187,219,0.3374323844909668,5.834306240081787,1746804148.8947973,1746804155.0665362
1163,128,0.321505069732666,3.609506845474243,1746804148.9251308,1746804152.856143
1622,74,0.30472564697265625,2.2542502880096436,1746804148.9260979,1746804151.4850745
1170,411,0.3153347969055176,9.416321754455566,1746804148.9267285,1746804158.6583855
1340,73,0.2962496280670166,2.1998231410980225,1746804148.9339926,1746804151.4300656
771,84,0.28815364837646484,2.493577718734741,1746804148.944613,1746804151.7263446
1749,376,0.28366541862487793,8.860909223556519,1746804148.955204,1746804158.099779
1861,403,0.27538084983825684,9.29863691329956,1746804148.9657469,1746804158.539765
1724,302,0.2644052505493164,7.538965463638306,1746804148.9763997,1746804156.7797706
1537,224,0.4144022464752197,5.874744176864624,1746804148.9983237,1746804155.28747
1402,250,0.4656941890716553,6.396958589553833,1746804149.0026774,1746804155.8653307
1403,335,0.448300838470459,8.022029638290405,1746804149.0205162,1746804157.4908469
1680,148,0.44481730461120605,4.0526206493377686,1746804149.0212574,1746804153.5186963
1892,84,0.41363072395324707,2.444399118423462,1746804149.054291,1746804151.912321
1791,124,0.4133262634277344,3.441329002380371,1746804149.0562866,1746804152.9109426
1777,110,0.4099388122558594,3.11641263961792,1746804149.0569453,1746804152.5832968
1065,152,0.3785896301269531,4.142333984375,1746804149.0926492,1746804153.613573
1498,261,0.3738975524902344,6.6280529499053955,1746804149.0935407,1746804156.0954914
942,9,0.36986470222473145,0.36490559577941895,1746804149.0957625,1746804149.8305333
1605,371,0.34672069549560547,8.645246505737305,1746804149.1249857,1746804158.1169531
878,93,0.3569033145904541,2.6386842727661133,1746804149.126094,1746804152.1216817
1109,187,0.35503172874450684,4.975136756896973,1746804149.126761,1746804154.4569297
1595,690,0.38898658752441406,12.392409324645996,1746804149.128625,1746804161.910021
1634,210,0.3763599395751953,5.508731842041016,1746804149.1349177,1746804155.02001
1862,44,0.3788182735443115,1.2983598709106445,1746804149.1453571,1746804150.8225355
1519,226,0.371196985244751,5.847629070281982,1746804149.155104,1746804155.3739302
1386,11,0.3589942455291748,0.3968665599822998,1746804149.1656473,1746804149.9215083
1797,20,0.3424229621887207,0.8010480403900146,1746804149.176285,1746804150.3197563
1604,13,0.33396244049072266,0.5909767150878906,1746804149.187612,1746804150.1125512
1450,85,0.31275320053100586,2.429264545440674,1746804149.1973872,1746804151.9394052
866,11,0.9019944667816162,0.3789517879486084,1746804149.226713,1746804150.5076597
1772,205,0.9867491722106934,5.199663162231445,1746804149.2287517,1746804155.4151645
1661,362,1.151442050933838,8.055537223815918,1746804149.2859094,1746804158.492889
1743,366,1.1514394283294678,8.117247581481934,1746804149.2868805,1746804158.5555675
1837,76,1.1523966789245605,2.0934956073760986,1746804149.2877665,1746804152.5336592
1224,154,1.1837027072906494,3.981473207473755,1746804149.339913,1746804154.505089
1856,139,1.184185266494751,3.618473768234253,1746804149.3407998,1746804154.143459
1005,68,1.181326150894165,1.8879821300506592,1746804149.3415701,1746804152.410879
1054,171,1.2174546718597412,4.365189790725708,1746804149.3924983,1746804154.975143
1359,571,1.2095673084259033,10.52991533279419,1746804149.3934207,1746804161.1329036
1922,232,1.2137055397033691,5.670862674713135,1746804149.3941872,1746804156.2787557
1752,102,1.214320421218872,2.706683397293091,1746804149.394923,1746804153.315927
1434,11,1.2105584144592285,0.35803723335266113,1746804149.3965902,1746804150.965186
1825,210,1.2375428676605225,5.204320192337036,1746804149.4446657,1746804155.886529
1628,138,1.237060546875,3.5795321464538574,1746804149.4456189,1746804154.2622118
1559,301,1.2420454025268555,6.927338600158691,1746804149.4464028,1746804157.615787
893,84,1.2431302070617676,2.263317108154297,1746804149.4471877,1746804152.9536352
1918,403,1.2409789562225342,8.527092456817627,1746804149.4479237,1746804159.215995
1385,179,1.2227041721343994,4.531249761581421,1746804149.489203,1746804155.2431574
1246,131,1.2212281227111816,3.409595012664795,1746804149.4901361,1746804154.1209595
1473,12,1.219353199005127,0.39389801025390625,1746804149.4908862,1746804151.1041377
981,77,1.2191970348358154,2.06411075592041,1746804149.4916208,1746804152.7749288
1420,224,1.2173066139221191,5.488592147827148,1746804149.4923596,1746804156.1982589
1508,13,1.3050661087036133,0.37894105911254883,1746804149.5328603,1746804151.2168677
1074,72,1.3029968738555908,1.8914506435394287,1746804149.534567,1746804152.729015
1690,178,1.3074734210968018,4.44460391998291,1746804149.5353553,1746804155.2874331
1587,168,1.3021302223205566,4.220109701156616,1746804149.5361524,1746804155.0583925
1163,68,1.2741830348968506,1.815925121307373,1746804149.5907264,1746804152.6808348
1786,125,1.2723655700683594,3.210080623626709,1746804149.5916862,1746804154.0741327
