prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
21073.0,100.0,0.0824124813079834,1.6481878757476807,103,1,1746061311.9261494,1746061313.6567504
21202.0,100.0,0.0988004207611084,1.84381103515625,103,2,1746061321.954732,1746061323.8973444
21073.0,100.0,0.08793878555297852,1.647172212600708,104,1,1746061314.6341574,1746061316.369269
21202.0,100.0,0.08246636390686035,1.6642725467681885,104,2,1746061324.6714962,1746061326.4182355
21331.0,100.0,0.08930110931396484,1.8481090068817139,104,3,1746061334.6920915,1746061336.629502
21073.0,100.0,0.07676196098327637,1.657905101776123,105,1,1746061317.2412841,1746061318.9759517
21202.0,100.0,0.07715916633605957,1.6606488227844238,105,2,1746061327.2768633,1746061329.0146718
21331.0,100.0,0.08016276359558105,1.679370403289795,105,3,1746061337.3059943,1746061339.0655282
21460.0,100.0,0.09166741371154785,1.8692944049835205,105,4,1746061347.3748398,1746061349.335802
21073.0,100.0,0.07824277877807617,1.5940494537353516,106,1,1746061309.9194312,1746061311.5917237
21202.0,100.0,0.08138346672058105,1.6453185081481934,106,2,1746061319.9492977,1746061321.6760004
21331.0,100.0,0.0871269702911377,1.6447880268096924,106,3,1746061329.9825304,1746061331.7144458
21460.0,100.0,0.09168815612792969,1.6498017311096191,106,4,1746061340.0589757,1746061341.800466
21589.0,100.0,0.08286595344543457,1.670440673828125,106,5,1746061350.0853207,1746061351.8386276
21718.0,100.0,0.0980982780456543,1.861401081085205,106,6,1746061360.1113932,1746061362.0708928
21073.0,100.0,0.07561779022216797,1.6475212574005127,107,1,1746061312.6283624,1746061314.3515024
21202.0,100.0,0.10181045532226562,1.794159173965454,107,2,1746061322.6561687,1746061324.5521388
21331.0,100.0,0.08211994171142578,1.6509242057800293,107,3,1746061332.687608,1746061334.4206526
21460.0,100.0,0.08016729354858398,1.658940076828003,107,4,1746061342.7649002,1746061344.5040083
21589.0,100.0,0.07949280738830566,1.6686983108520508,107,5,1746061352.7915127,1746061354.5397043
21718.0,100.0,0.0896761417388916,1.678729772567749,107,6,1746061362.8201802,1746061364.5885866
21847.0,100.0,0.10694766044616699,1.8773815631866455,107,7,1746061372.882884,1746061374.8672137
