prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
75.0,20.0,0.033113718032836914,0.22308874130249023,3,1,1745946160.6709304,1745946160.9271338
75.0,20.0,0.02685999870300293,0.22468256950378418,4,1,1745946198.6847699,1745946198.936313
75.0,20.0,0.025894641876220703,0.2179105281829834,19,1,1745946128.6737695,1745946128.9175754
75.0,20.0,0.02580738067626953,0.2195281982421875,20,1,1745946166.6930394,1745946166.9383757
75.0,20.0,0.025890827178955078,0.2179248332977295,21,1,1745946204.7119744,1745946204.9557908
75.0,20.0,0.02536749839782715,0.21828556060791016,36,1,1745946134.6937997,1745946134.9374535
75.0,20.0,0.025862932205200195,0.2185041904449463,37,1,1745946172.7136087,1745946172.9579766
75.0,20.0,0.02548503875732422,0.21909117698669434,38,1,1745946210.7330544,1745946210.9776318
75.0,20.0,0.026209592819213867,0.22356891632080078,53,1,1745946140.7115035,1745946140.9612825
75.0,20.0,0.025653362274169922,0.2179250717163086,54,1,1745946178.646241,1745946178.88982
75.0,20.0,0.02607131004333496,0.22483062744140625,55,1,1745946216.7040844,1745946216.9549868
75.0,20.0,0.026072025299072266,0.2249763011932373,70,1,1745946146.7299614,1745946146.981011
75.0,20.0,0.028081417083740234,0.2237691879272461,71,1,1745946184.73861,1745946184.9904613
75.0,20.0,0.025964975357055664,0.22531652450561523,87,1,1745946153.1461217,1745946153.3974042
75.0,20.0,0.025330781936645508,0.22432303428649902,88,1,1745946190.6575963,1745946190.9072511
75.0,20.0,0.02541041374206543,0.21964097023010254,104,1,1745946158.6645725,1745946158.9096248
75.0,20.0,0.025528907775878906,0.2222301959991455,105,1,1745946196.6779063,1745946196.9256663
75.0,20.0,0.025478601455688477,0.2184908390045166,120,1,1745946126.667128,1745946126.9110985
75.0,20.0,0.025593996047973633,0.22015714645385742,121,1,1745946164.6868386,1745946164.9325905
75.0,20.0,0.02598118782043457,0.21963047981262207,122,1,1745946202.7022083,1745946202.947821
75.0,20.0,0.02551746368408203,0.21860289573669434,137,1,1745946132.6874309,1745946132.931552
75.0,20.0,0.02543330192565918,0.21807575225830078,138,1,1745946170.7065,1745946170.9500096
75.0,20.0,0.02501964569091797,0.21920132637023926,139,1,1745946208.7261136,1745946208.9703355
75.0,20.0,0.025945663452148438,0.21846413612365723,154,1,1745946138.7056987,1745946138.9501092
75.0,20.0,0.025907278060913086,0.21853327751159668,155,1,1745946176.739188,1745946176.9836292
75.0,20.0,0.02611708641052246,0.2248687744140625,156,1,1745946214.6975448,1745946214.9485314
75.0,20.0,0.025389671325683594,0.21833395957946777,171,1,1745946144.7240343,1745946144.9677591
75.0,20.0,0.025329113006591797,0.22694969177246094,172,1,1745946182.6598487,1745946182.912128
75.0,20.0,0.026367902755737305,0.225372314453125,173,1,1745946220.718911,1745946220.9706519
75.0,20.0,0.025403261184692383,0.21898984909057617,188,1,1745946150.643628,1745946150.8880217
75.0,20.0,0.025351762771606445,0.22561073303222656,189,1,1745946188.6516345,1745946188.902598
75.0,20.0,0.02546238899230957,0.2199256420135498,205,1,1745946156.658143,1745946156.9035318
75.0,20.0,0.025615930557250977,0.22286200523376465,206,1,1745946194.6710382,1745946194.9195173
75.0,20.0,0.025654077529907227,0.2178206443786621,221,1,1745946124.660282,1745946124.9037576
75.0,20.0,0.025261402130126953,0.22060537338256836,222,1,1745946162.679898,1745946162.9257655
75.0,20.0,0.026589393615722656,0.21960091590881348,223,1,1745946200.6946685,1745946200.9408598
75.0,20.0,0.025064468383789062,0.21818828582763672,238,1,1745946130.6809394,1745946130.924193
75.0,20.0,0.02537059783935547,0.21924757957458496,239,1,1745946168.6997042,1745946168.944323
75.0,20.0,0.0257720947265625,0.2185204029083252,240,1,1745946206.7189033,1745946206.9631968
75.0,20.0,0.027112483978271484,0.22357773780822754,255,1,1745946136.6998305,1745946136.9505212
75.0,20.0,0.025661945343017578,0.21851015090942383,256,1,1745946174.732407,1745946174.9765804
75.0,20.0,0.025610685348510742,0.21998143196105957,257,1,1745946212.6397147,1745946212.8853078
75.0,20.0,0.02656388282775879,0.22470760345458984,272,1,1745946142.7177067,1745946142.9689794
75.0,20.0,0.025349140167236328,0.2259235382080078,273,1,1745946180.6533225,1745946180.9045959
75.0,20.0,0.026112794876098633,0.2254343032836914,274,1,1745946218.7105758,1745946218.9621243
75.0,20.0,0.025882720947265625,0.2249889373779297,289,1,1745946148.736183,1745946148.9870553
75.0,20.0,0.025071382522583008,0.22472691535949707,290,1,1745946186.6450608,1745946186.8948603
75.0,20.0,0.025530338287353516,0.21909022331237793,306,1,1745946154.651141,1745946154.8957622
75.0,20.0,0.02520275115966797,0.22311902046203613,307,1,1745946192.6644554,1745946192.9127781
75.0,20.0,0.023514986038208008,0.218001127243042,322,1,1745946122.6486213,1745946122.890138
75.0,20.0,0.04289054870605469,0.22247529029846191,323,1,1745946160.6727843,1745946160.938151
75.0,20.0,0.03704357147216797,0.22391247749328613,324,1,1745946198.686335,1745946198.9472916
